CO_REGSAUD;DS_NOME;Ano;Pop_0a4;Pop_5a9;Pop_10a14;Pop_15a19;Pop_20a24;Pop_25a29;Pop_30a34;Pop_35a39;Pop_40a44;Pop_45a49;Pop_50a54;Pop_55a59;Pop_60a64;Pop_65a69;Pop_70a74;Pop_75a79;Pop_80emais;PopH_0a4;PopH_5a9;PopH_10a14;PopH_15a19;PopH_20a24;PopH_25a29;PopH_30a34;PopH_35a39;PopH_40a44;PopH_45a49;PopH_50a54;PopH_55a59;PopH_60a64;PopH_65a69;PopH_70a74;PopH_75a79;PopH_80emais;PopM_0a4;PopM_5a9;PopM_10a14;PopM_15a19;PopM_20a24;PopM_25a29;PopM_30a34;PopM_35a39;PopM_40a44;PopM_45a49;PopM_50a54;PopM_55a59;PopM_60a64;PopM_65a69;PopM_70a74;PopM_75a79;PopM_80emais
17007;Cantão;2010;9676;10819;11421;10663;9748;9846;9231;8335;7641;6603;5378;4397;3478;2597;2000;1363;1452;4912;5592;5893;5556;4998;4938;4637;4224;3922;3431;2843;2349;1896;1422;1065;757;776;4764;5227;5528;5107;4750;4908;4594;4111;3719;3172;2535;2048;1582;1175;935;606;676
17008;Amor Perfeito;2010;9269;9827;10918;10647;9119;8620;7806;6861;6246;5295;4620;3763;3087;2492;1948;1257;1575;4678;5064;5530;5500;4702;4307;3964;3520;3203;2799;2342;1984;1559;1316;1025;662;792;4591;4763;5388;5147;4417;4313;3842;3341;3043;2496;2278;1779;1528;1176;923;595;783
21001;Açailândia;2010;28686;30756;31390;28173;27167;24797;20887;16142;13838;11839;9618;7938;6280;4883;3390;2031;2019;14631;15768;16010;14152;13601;12437;10560;8180;7029;5991;4873;4076;3315;2612;1837;1107;1044;14055;14988;15380;14021;13566;12360;10327;7962;6809;5848;4745;3862;2965;2271;1553;924;975
21002;Bacabal;2010;25519;28151;29442;26334;24214;22737;19553;15205;13693;11749;10366;8776;7292;5673;4463;3027;3668;12876;14357;14847;13327;12069;11187;9666;7525;6617;5611;4819;4134;3468;2750;2089;1493;1704;12643;13794;14595;13007;12145;11550;9887;7680;7076;6138;5547;4642;3824;2923;2374;1534;1964
21003;Balsas;2010;22599;24808;27791;25352;22436;20159;16928;13548;12323;10612;8950;7247;5974;4618;3543;2443;2819;11326;12668;14183;12945;11621;10369;8641;6973;6373;5511;4531;3647;2979;2365;1687;1143;1347;11273;12140;13608;12407;10815;9790;8287;6575;5950;5101;4419;3600;2995;2253;1856;1300;1472
21004;Barra do Corda;2010;24032;24772;25821;24471;20525;18145;14918;12003;10440;8982;7125;6338;5550;4433;3469;2115;2464;12204;12610;13142;12597;10469;9372;7589;6114;5350;4575;3614;3130;2887;2247;1799;1138;1201;11828;12162;12679;11874;10056;8773;7329;5889;5090;4407;3511;3208;2663;2186;1670;977;1263
21005;Caxias;2010;29804;31296;31745;29500;26832;24074;20180;15927;14570;13337;11589;9949;8193;6543;5137;3521;4439;15097;15890;16198;14861;13288;12068;9847;7762;6961;6271;5500;4557;3971;3085;2344;1706;1922;14707;15406;15547;14639;13544;12006;10333;8165;7609;7066;6089;5392;4222;3458;2793;1815;2517
21006;Chapadinha;2010;37789;39972;41532;37747;34207;29540;24102;19192;16870;14375;12251;11156;9260;7523;5842;4128;4738;19176;20396;21079;19247;17099;14945;12311;9927;8598;7218;6049;5452;4639;3839;2873;2115;2276;18613;19576;20453;18500;17108;14595;11791;9265;8272;7157;6202;5704;4621;3684;2969;2013;2462
21007;Codó;2010;30313;31234;33357;29914;27863;23933;20041;16286;14790;13590;11680;10323;8409;7212;5491;3863;4354;15323;16037;16862;15012;13922;11779;9718;7967;7093;6343;5469;4758;4005;3424;2633;1899;1987;14990;15197;16495;14902;13941;12154;10323;8319;7697;7247;6211;5565;4404;3788;2858;1964;2367
21008;Imperatriz;2010;45206;47886;52375;49623;48783;45567;39745;31533;27778;23649;19501;15934;12865;10087;7942;5141;5663;23158;24378;26381;24876;24392;22393;19720;15605;13662;11504;9452;7668;6363;4978;3934;2592;2651;22048;23508;25994;24747;24391;23174;20025;15928;14116;12145;10049;8266;6502;5109;4008;2549;3012
21009;Itapecuru Mirim;2010;36273;38345;42077;37061;34417;29496;24256;18944;16610;14361;12345;11062;8603;7023;5593;3682;4497;18487;19414;21212;18683;17304;14599;12212;9539;8342;7055;6104;5441;4303;3598;2781;1867;2142;17786;18931;20865;18378;17113;14897;12044;9405;8268;7306;6241;5621;4300;3425;2812;1815;2355
21010;Pedreiras;2010;20091;21319;23005;22118;19859;18169;15668;12770;11330;10216;8672;7373;6396;5095;4074;2736;3300;10148;10792;11677;11243;9938;8995;7731;6352;5536;4860;4122;3398;3096;2459;1952;1291;1486;9943;10527;11328;10875;9921;9174;7937;6418;5794;5356;4550;3975;3300;2636;2122;1445;1814
21011;Pinheiro;2010;37293;40938;42331;39416;36563;32265;26307;21605;18727;16425;14032;12548;9935;8661;6845;4816;5056;19057;21087;21724;20360;18561;16244;13188;10994;9335;8172;6841;6267;5063;4417;3444;2423;2357;18236;19851;20607;19056;18002;16021;13119;10611;9392;8253;7191;6281;4872;4244;3401;2393;2699
21012;Presidente Dutra;2010;26602;28348;31037;29550;25237;23136;20395;16394;14392;13215;11128;10167;8477;6703;5347;3336;4223;13530;14487;15712;14919;12710;11614;10312;8168;7158;6432;5291;4792;4182;3344;2611;1646;1999;13072;13861;15325;14631;12527;11522;10083;8226;7234;6783;5837;5375;4295;3359;2736;1690;2224
21013;Rosário;2010;29929;32031;33331;30206;27008;22692;18493;14613;12410;10586;8972;7906;6305;5264;4056;2825;3455;15149;16666;17032;15742;14033;11484;9467;7535;6378;5410;4533;3995;3178;2785;2026;1431;1663;14780;15365;16299;14464;12975;11208;9026;7078;6032;5176;4439;3911;3127;2479;2030;1394;1792
21014;Santa Inês;2010;40222;43017;44941;38927;34744;32073;26514;20209;17860;15386;13611;12238;9891;8031;6337;4159;4592;20555;22018;22865;19782;17249;15917;13181;9994;8821;7617;6489;5807;4876;4008;3231;2121;2203;19667;20999;22076;19145;17495;16156;13333;10215;9039;7769;7122;6431;5015;4023;3106;2038;2389
21015;São João dos Patos;2010;22038;23694;26503;25569;21334;18472;16204;13165;12261;11531;9771;8249;7017;5721;4566;3045;3403;11048;12047;13252;13045;11026;9381;8240;6603;6139;5683;4738;3820;3440;2792;2204;1435;1553;10990;11647;13251;12524;10308;9091;7964;6562;6122;5848;5033;4429;3577;2929;2362;1610;1850
21016;São Luís;2010;102897;105038;120339;128560;149348;141394;120163;101333;88757;72071;58520;44413;31894;23519;17552;11671;13712;52014;53419;60262;61448;70982;66441;55238;46287;40503;33040;26918;20591;14345;10395;7462;4807;4815;50883;51619;60077;67112;78366;74953;64925;55046;48254;39031;31602;23822;17549;13124;10090;6864;8897
21017;Timon;2010;21804;23936;25520;22799;22491;20876;18350;14606;12848;11104;9595;7932;6502;5075;4095;2721;2953;11107;12225;13033;11434;11300;10322;8979;7059;6161;5156;4473;3695;3058;2396;1926;1251;1245;10697;11711;12487;11365;11191;10554;9371;7547;6687;5948;5122;4237;3444;2679;2169;1470;1708
21018;Viana;2010;24784;26585;28677;26814;25650;23062;17988;14382;12514;10944;9624;8496;6639;5641;4664;3335;3537;12534;13620;14798;13881;12988;11615;9065;7240;6248;5338;4677;4047;3313;2835;2235;1589;1586;12250;12965;13879;12933;12662;11447;8923;7142;6266;5606;4947;4449;3326;2806;2429;1746;1951
21019;Zé Doca;2010;29520;31522;33813;30117;28087;24586;19863;15514;13525;11348;9625;8041;6861;5396;3965;2622;2757;15071;15887;17182;15458;14265;12439;10160;7928;6947;5764;4812;4015;3570;2785;2128;1412;1395;14449;15635;16631;14659;13822;12147;9703;7586;6578;5584;4813;4026;3291;2611;1837;1210;1362
22001;Carnaubais;2010;12077;13917;15748;14889;13977;12647;12000;10063;9318;8337;7501;6804;5745;4543;3784;2566;3155;6201;7214;8119;7719;6997;6272;5892;4858;4627;4066;3542;3179;2799;2299;1899;1221;1461;5876;6703;7629;7170;6980;6375;6108;5205;4691;4271;3959;3625;2946;2244;1885;1345;1694
22002;Chapada das Mangabeiras;2010;17434;19339;21296;19596;17407;16069;13661;10971;9724;9202;7809;6785;5381;4200;3386;2290;2907;8976;9865;10962;9938;9008;8304;7118;5821;4981;4687;4024;3309;2710;1995;1590;1074;1390;8458;9474;10334;9658;8399;7765;6543;5150;4743;4515;3785;3476;2671;2205;1796;1216;1517
22003;Cocais;2010;32202;36710;41398;40524;36612;31814;27773;22870;21325;19187;16951;15033;12206;10033;8211;5727;6496;16450;18810;21275;20843;18451;15890;13674;11369;10472;9368;8128;7140;5946;4947;3857;2813;3046;15752;17900;20123;19681;18161;15924;14099;11501;10853;9819;8823;7893;6260;5086;4354;2914;3450
22004;Entre Rios;2010;89260;93630;108036;108660;120887;112427;99360;81659;73486;66028;56225;45755;34729;25783;20333;13781;16776;45581;47772;54768;53546;58334;53580;46554;37699;33496;30018;25390;20671;15757;11657;8831;5813;6599;43679;45858;53268;55114;62553;58847;52806;43960;39990;36010;30835;25084;18972;14126;11502;7968;10177
22005;Planície Litorânea;2010;21602;23696;26971;26122;26075;23243;20985;17951;15999;13833;11082;9627;8392;6369;5223;3670;4362;11001;12039;13712;13074;12990;11547;10381;8944;7813;6695;5355;4494;3945;2979;2407;1636;1853;10601;11657;13259;13048;13085;11696;10604;9007;8186;7138;5727;5133;4447;3390;2816;2034;2509
22006;Serra da Capivara;2010;11701;13001;14358;14203;13106;12067;11018;9279;8597;7384;5900;4903;4553;3495;2963;1794;2416;6014;6559;7381;7171;6559;6108;5564;4698;4512;3776;2939;2454;2281;1683;1375;845;1056;5687;6442;6977;7032;6547;5959;5454;4581;4085;3608;2961;2449;2272;1812;1588;949;1360
22007;Tabuleiros do Alto Parnaíba;2010;4241;4535;4862;4589;4440;4066;3248;2602;2475;2219;1825;1548;1230;934;750;479;622;2134;2254;2416;2285;2310;2144;1664;1358;1296;1099;937;719;598;493;359;238;293;2107;2281;2446;2304;2130;1922;1584;1244;1179;1120;888;829;632;441;391;241;329
22008;Vale do Canindé;2010;8280;9420;11024;10200;9243;8433;7857;6778;6363;5592;4841;4104;3593;2948;2384;1506;1926;4224;4792;5640;5137;4604;4153;3905;3393;3080;2733;2358;1903;1719;1412;1056;684;847;4056;4628;5384;5063;4639;4280;3952;3385;3283;2859;2483;2201;1874;1536;1328;822;1079
22009;Vale do Rio Guaribas;2010;27457;31330;35680;33947;32839;29500;28153;24752;23836;20627;16574;13812;12319;10065;7899;4873;6200;13933;15889;18078;17300;16407;14541;13825;12078;11599;10073;7996;6577;5897;4819;3797;2271;2933;13524;15441;17602;16647;16432;14959;14328;12674;12237;10554;8578;7235;6422;5246;4102;2602;3267
22010;Vale do Sambito;2010;7629;8842;9965;9525;8571;8282;7761;6756;6377;5830;5315;4550;4008;3232;2899;2009;2473;3826;4522;5109;4890;4175;3974;3774;3260;3169;2822;2395;2078;1944;1587;1373;941;1175;3803;4320;4856;4635;4396;4308;3987;3496;3208;3008;2920;2472;2064;1645;1526;1068;1298
22011;Vale dos Rios Piauí e Itaueiras;2010;15648;18171;20576;19613;18292;16823;15277;12898;12265;11156;9628;8355;7000;5610;4614;3101;3934;7899;9311;10521;10042;9131;8471;7596;6422;6121;5434;4624;3891;3270;2732;2091;1404;1696;7749;8860;10055;9571;9161;8352;7681;6476;6144;5722;5004;4464;3730;2878;2523;1697;2238
23001;1ª Região Fortaleza;2010;181197;189190;224463;239865;268339;257026;222585;195183;185451;164232;127649;100397;80443;56915;45394;29296;39038;92556;96185;113151;117489;128910;122492;104733;90387;85403;74921;56676;43637;34426;23619;17805;10968;12929;88641;93005;111312;122376;139429;134534;117852;104796;100048;89311;70973;56760;46017;33296;27589;18328;26109
23002;2ª Região Caucaia;2010;45320;48999;61205;59106;55774;49942;44667;39745;36783;31681;22922;18080;14975;11335;9537;6159;7830;23194;24778;30880;30089;28251;24956;21906;19683;17960;15342;11063;8615;7168;5438;4383;2846;3412;22126;24221;30325;29017;27523;24986;22761;20062;18823;16339;11859;9465;7807;5897;5154;3313;4418
23003;3ª Região Maracanaú;2010;39462;40775;50660;50682;51507;46498;39520;34119;32418;27577;20893;16012;13103;9771;7840;5101;6401;20221;20902;26185;25457;25618;23029;19566;16499;15405;13385;9866;7531;6054;4660;3586;2247;2655;19241;19873;24475;25225;25889;23469;19954;17620;17013;14192;11027;8481;7049;5111;4254;2854;3746
23004;4ª Região Baturité;2010;10691;11595;14776;14451;11992;10954;9530;8170;7838;7161;5610;4859;3976;3351;3003;2174;3054;5353;5890;7593;7465;6122;5527;4827;4109;3901;3553;2710;2388;1994;1586;1381;1051;1447;5338;5705;7183;6986;5870;5427;4703;4061;3937;3608;2900;2471;1982;1765;1622;1123;1607
