CO_REGSAUD;DS_NOME;Ano;Pop
35011;Alto do Tietê;2000;2306607
35012;Franco da Rocha;2000;423953
35013;Mananciais;2000;812236
35014;Rota dos Bandeirantes;2000;1546933
35015;Grande ABC;2000;2354722
35016;São Paulo;2000;10434252
35021;Central do DRS II;2000;255967
35022;Lagos do DRS II;2000;179121
35023;Consórcios do DRS II;2000;221999
35031;Central do DRS III;2000;250891
35032;Centro Oeste do DRS III;2000;117860
35033;Norte do DRS III;2000;139179
35034;Coração do DRS III;2000;315670
35041;Baixada Santista;2000;1476820
35051;Norte - Barretos;2000;248733
35052;Sul - Barretos;2000;136683
35061;Vale do Jurumirim;2000;254948
35062;Bauru;2000;540126
35063;Polo Cuesta;2000;243237
35064;Jaú;2000;286274
35065;Lins;2000;142479
35071;Bragança;2000;359040
35072;Região Metropolitana de Campinas;2000;2338026
35073;Jundiaí;2000;580131
35074;Circuito das Águas;2000;112097
35081;Três Colinas;2000;350283
35082;Alta Anhanguera;2000;130523
35083;Alta Mogiana;2000;108565
35091;Adamantina;2000;120528
35092;Assis;2000;221455
35093;Marília;2000;339124
35094;Ourinhos;2000;202966
35095;Tupã;2000;124389
35101;Araras;2000;276024
35102;Limeira;2000;292225
35103;Piracicaba;2000;472764
35104;Rio Claro;2000;208676
35111;Alta Paulista;2000;117683
35112;Alta Sorocabana;2000;352928
35113;Alto Capivari;2000;53795
35114;Extremo Oeste Paulista;2000;88014
35115;Pontal do Paranapanema;2000;70659
35121;Vale do Ribeira;2000;270315
35131;Horizonte Verde;2000;341033
35132;Aquífero Guarani;2000;678891
35133;Vale das Cachoeiras;2000;114940
35141;Baixa Mogiana;2000;277928
35142;Mantiqueira;2000;243463
35143;Rio Pardo;2000;205707
35151;Catanduva;2000;266502
35152;Santa Fé do Sul;2000;41587
35153;Jales;2000;100597
35154;Fernandópolis;2000;106520
35155;São José do Rio Preto;2000;571081
35156;José Bonifácio;2000;77919
35157;Votuporanga;2000;169414
35161;Itapetininga;2000;395109
35162;Itapeva;2000;271426
35163;Sorocaba;2000;1299276
35171;Alto Vale do Paraíba;2000;852652
35172;Circuito da Fé e Vale Histórico;2000;422468
35173;Litoral Norte;2000;224656
35174;Vale do Paraíba/Região Serrana;2000;492334
41001;1ª RS Paranaguá;2000;235840
41002;2ª RS Metropolitana;2000;2813237
41003;3ª RS Ponta Grossa;2000;518854
41004;4ª RS Irati;2000;148793
41005;5ª RS Guarapuava;2000;432996
41006;6ª RS União da Vitória;2000;155473
41007;7ª RS Pato Branco;2000;235489
41008;8ª RS Francisco Beltrão;2000;321954
41009;9ª RS Foz do Iguaçu;2000;379391
41010;10ª RS Cascavel;2000;469806
41011;11ª RS Campo Mourão;2000;346648
41012;12ª RS Umuarama;2000;257984
41013;13ª RS Cianorte;2000;125219
41014;14ª RS Paranavaí;2000;248772
41015;15ª RS Maringá;2000;632898
41016;16ª RS Apucarana;2000;312895
41017;17ª RS Londrina;2000;786136
41018;18ª RS Cornélio Procópio;2000;234233
41019;19ª RS Jacarezinho;2000;271681
41020;20ª RS Toledo;2000;322137
41021;21ª RS Telêmaco Borba;2000;159267
41022;22ª RS Ivaiporã;2000;153755
42001;Extremo Oeste;2000;216631
42002;Oeste;2000;279633
42003;Xanxerê;2000;178567
42004;Alto Vale do Itajaí;2000;242610
42005;Foz do Rio Itajaí;2000;394137
42006;Médio Vale do Itajaí;2000;539617
42007;Grande Florianópolis;2000;816315
42008;Meio Oeste;2000;168527
42009;Alto Vale do Rio do Peixe;2000;255692
42010;Alto Uruguai Catarinense;2000;137892
42011;Nordeste;2000;698006
42012;Planalto Norte;2000;331950
42013;Serra Catarinense;2000;287276
42014;Extremo Sul Catarinense;2000;160169
42015;Carbonífera;2000;344778
42016;Laguna;2000;304560
43001;Região 01 - Verdes Campos;2000;405067
43002;Região 02 - Entre Rios;2000;128566
43003;Região 03 - Fronteira Oeste;2000;485116
43004;Região 04 - Belas Praias;2000;115642
43005;Região 05 - Bons Ventos;2000;170146
43006;Região 06 - Vale do Paranhana e Costa S;2000;192285
43007;Região 07 - Vale dos Sinos;2000;690337
43008;Região 08 - Vale do Caí e Metropolitana;2000;666692
43009;Região 09 - Carbonífera/Costa Doce;2000;360601
43010;Região 10 - Capital e Vale do Gravataí;2000;2117864
43011;Região 11 - Sete Povos das Missões;2000;301613
43012;Região 12 - Portal das Missões;2000;154574
43013;Região 13 - Diversidade;2000;221860
43014;Região 14 - Fronteira Noroeste;2000;236302
43015;Região 15 - Caminho das Águas;2000;196892
43016;Região 16 - Alto Uruguai Gaúcho;2000;234382
43017;Região 17 - Planalto;2000;354831
43018;Região 18 - Araucárias;2000;125467
43019;Região 19 - Botucaraí;2000;116184
43020;Região 20 - Rota da Produção;2000;163778
43021;Região 21 - Sul;2000;828298
43022;Região 22 - Pampa;2000;180710
43023;Região 23 - Caxias e Hortênsias;2000;445765
43024;Região 24 - Campos de Cima da Serra;2000;91871
43025;Região 25 - Vinhedos e Basalto;2000;242708
43026;Região 26 - Uva Vale;2000;151412
43027;Região 27 - Jacuí Centro;2000;202524
43028;Região 28 - Vinte e Oito;2000;307737
43029;Região 29 - Vales e Montanhas;2000;192772
43030;Região 30 - Vale da Luz;2000;105802
50001;Campo Grande;2000;1120029
50002;Corumbá;2000;111014
50003;Dourados;2000;631239
50004;Três Lagoas;2000;215719
51001;Alto Tapajós;2000;89975
51002;Baixada Cuiabana;2000;802048
51003;Araguaia Xingu;2000;59250
51004;Centro Norte;2000;84859
51005;Garças Araguaia;2000;112217
51006;Médio Araguaia;2000;58394
51007;Médio Norte Matogrossense;2000;155217
51008;Noroeste Matogrossense;2000;97104
51009;Norte Araguaia Karajá;2000;19387
51010;Norte Matogrossense;2000;68231
51011;Oeste Matogrossense;2000;174510
51012;Sudoeste Matogrossense;2000;94742
51013;Sul Matogrossense;2000;357664
51014;Teles Pires;2000;195653
51015;Vale do Peixoto;2000;84336
51016;Vale dos Arinos;2000;50766
52001;Central;2000;1376523
52002;Centro Sul;2000;593117
52003;Entorno Norte;2000;187315
52004;Entorno Sul;2000;542454
52005;Estrada de Ferro;2000;207052
52006;Nordeste I;2000;40846
52007;Nordeste II;2000;83006
52008;Norte;2000;138705
52009;Oeste I;2000;114904
52010;Oeste II;2000;97022
52011;Pirineus;2000;380888
52012;Rio Vermelho;2000;185552
52013;São Patrício I;2000;157785
52014;Serra da Mesa;2000;110317
52015;Sudoeste I;2000;292281
52016;Sudoeste II;2000;162932
52017;Sul;2000;206306
52018;São Patrício II;2000;126223
53001;Distrito Federal;2000;2051146
55;Brasil;2000;169799170
